,Місто,Регіон
0,Авдіївка,Донецька область
1,Алмазна,Луганська область
2,Алупка,Крим
3,Алушта,Крим
4,Алчевськ,Луганська область
5,Амвросіївка,Донецька область
6,Ананьїв,Одеська область
7,Андрушівка,Житомирська область
8,Антрацит,Луганська область
9,Апостолове,Дніпропетровська область
10,Армянськ,Крим
11,Арциз,Одеська область
12,Балаклія,Харківська область
13,Балта,Одеська область
14,Бар,Вінницька область
15,Баранівка,Житомирська область
16,Барвінкове,Харківська область
17,Батурин,Чернігівська область
18,Бахмач,Чернігівська область
19,Бахмут,Донецька область
20,Бахчисарай,Крим
21,Баштанка,Миколаївська область
22,Белз,Львівська область
23,Бердичів,Житомирська область
24,Бердянськ,Запорізька область
25,Берегове,Закарпатська область
26,Бережани,Тернопільська область
27,Березань,Київська область
28,Березівка,Одеська область
29,Березне,Рівненська область
30,Берестечко,Волинська область
31,Берислав,Херсонська область
32,Бершадь,Вінницька область
33,Бібрка,Львівська область
34,Біла Церква,Київська область
35,Білгород-Дністровський,Одеська область
36,Білицьке,Донецька область
37,Білогірськ,Крим
38,Білозерське,Донецька область
39,Білопілля,Сумська область
40,Біляївка,Одеська область
41,Благовіщенське,Кіровоградська область
42,Бобринець,Кіровоградська область
43,Бобровиця,Чернігівська область
44,Богодухів,Харківська область
45,Богуслав,Київська область
46,Боково-Хрустальне,Луганська область
47,Болград,Одеська область
48,Болехів,Івано-Франківська область
49,Борзна,Чернігівська область
50,Борислав,Львівська область
51,Бориспіль,Київська область
52,Борщів,Тернопільська область
53,Боярка,Київська область
54,Бровари,Київська область
55,Броди,Львівська область
56,Брянка,Луганська область
57,Бунге,Донецька область
58,Буринь,Сумська область
59,Бурштин,Івано-Франківська область
60,Буськ,Львівська область
61,Буча,Київська область
62,Бучач,Тернопільська область
63,Валки,Харківська область
64,Вараш,Рівненська область
65,Василівка,Запорізька область
66,Васильків,Київська область
67,Ватутіне,Черкаська область
68,Вашківці,Чернівецька область
69,Великі Мости,Львівська область
70,Верхівцеве,Дніпропетровська область
71,Верхньодніпровськ,Дніпропетровська область
72,Вижниця,Чернівецька область
73,Вилкове,Одеська область
74,Винники,Львівська область
75,Виноградів,Закарпатська область
76,Вишгород,Київська область
77,Вишневе,Київська область
78,Вільногірськ,Дніпропетровська область
79,Вільнянськ,Запорізька область
80,Вінниця,Вінницька область
81,Вовчанськ,Харківська область
82,Вознесенівка,Луганська область
83,Вознесенськ,Миколаївська область
84,Волноваха,Донецька область
85,Володимир,Волинська область
86,Волочиськ,Хмельницька область
87,Ворожба,Сумська область
88,Вуглегірськ,Донецька область
89,Вугледар,Донецька область
90,Гадяч,Полтавська область
91,Гайворон,Кіровоградська область
92,Гайсин,Вінницька область
93,Галич,Івано-Франківська область
94,Генічеськ,Херсонська область
95,Герца,Чернівецька область
96,Гірник,Донецька область
97,Гірське,Луганська область
98,Глиняни,Львівська область
99,Глобине,Полтавська область
100,Глухів,Сумська область
101,Гнівань,Вінницька область
102,Гола Пристань,Херсонська область
103,Голубівка,Луганська область
104,Горішні Плавні,Полтавська область
105,Горлівка,Донецька область
106,Городенка,Івано-Франківська область
107,Городище,Черкаська область
108,Городня,Чернігівська область
109,Городок,Львівська область
110,Городок,Хмельницька область
111,Горохів,Волинська область
112,Гребінка,Полтавська область
113,Гуляйполе,Запорізька область
114,Дебальцеве,Донецька область
115,Деражня,Хмельницька область
116,Дергачі,Харківська область
117,Джанкой,Крим
118,Дніпро,Дніпропетровська область
119,Дніпрорудне,Запорізька область
120,Добромиль,Львівська область
121,Добропілля,Донецька область
122,Довжанськ,Луганська область
123,Докучаєвськ,Донецька область
124,Долина,Івано-Франківська область
125,Долинська,Кіровоградська область
126,Донецьк,Донецька область
127,Дрогобич,Львівська область
128,Дружба,Сумська область
129,Дружківка,Донецька область
